Deputado,Partido,Estado,Votou
AJ Albuquerque,PP,CE,Sim
Acácio Favacho,MDB,AP,Sim
Adail Filho,Republican,AM,Sim
Adilson Barroso,PL,SP,Sim
Adolfo Viana,PSDB,BA,Sim
Adriana Ventura,Novo,SP,Não
Adriano do Baldy,PP,GO,Sim
Aécio Neves,PSDB,MG,Não
Afonso Hamm,PP,RS,Sim
Afonso Motta,PDT,RS,Não
Aguinaldo Ribeiro,PP,PB,Sim
Airton Faleiro,PT,PA,Sim
Alberto Fraga,PL,DF,Sim
Albuquerque,Republican,RR,Sim
Alceu Moreira,MDB,RS,Sim
Alencar Santana,PT,SP,Não
Alex Manente,Cidadania,SP,Sim
Alex Santana,Republican,BA,Abstenção
Alexandre Guimarãe,MDB,TO,Sim
Alfredinho,PT,SP,Sim
Alice Portugal,PCdoB,BA,Não
Aliel Machado,PV,PR,Sim
Aline Gurgel,Republican,AP,Sim
Allan Garcês,PP,MA,Sim
Altineu Côrtes,PL,RJ,Sim
Aluisio Mendes,Republican,MA,Sim
Amanda Gentil,PP,MA,Sim
Amaro Neto,Republican,ES,Sim
Amom Mandel,Cidadania,AM,Não
Ana Paula Leão,PP,MG,Sim
Ana Paula Lima,PT,SC,Não
Ana Pimentel,PT,MG,Não
André Abdon,PP,AP,Sim
André Fernandes,PL,CE,Sim
André Ferreira,PL,PE,Sim
André Figueiredo,PDT,CE,Sim
Andreia Siqueira,MDB,PA,Sim
Antônia Lúcia,Republican,AC,Sim
Antonio Andrade,Republican,TO,Sim
Antonio Brito,PSD,BA,Não
Antonio Carlos R.,PL,SP,Sim
Antônio Doido,MDB,PA,Sim
Any Ortiz,Cidadania,RS,Sim
Arlindo  Chinaglia,PT,SP,Não
Arnaldo Jardim,Cidadania,SP,Sim
Arthur Lira,PP,AL,Sim
Arthur O. Maia,União,BA,Sim
Átila Lins,PSD,AM,Não
Átila Lira,PP,PI,Sim
Augusto Coutinho,Republican,PE,Sim
Aureo Ribeiro,Solidaried,RJ,Sim
Bacelar,PV,BA,Sim
Baleia Rossi,MDB,SP,Não
Bandeira de Mello,PSB,RJ,Não
Bebeto,PP,RJ,Sim
Benedita da Silva,PT,RJ,Não
Benes Leocádio,União,RN,Sim
Beto Pereira,PSDB,MS,Sim
Beto Richa,PSDB,PR,Sim
Bia Kicis,PL,DF,Sim
Bibo Nunes,PL,RS,Sim
Bohn Gass,PT,RS,Não
Bruno Farias,Avante,MG,Sim
Bruno Ganem,Podemos,SP,Sim
Caio Vianna,PSD,RJ,Não
Cap. Alberto Neto,PL,AM,Sim
Capitão Alden,PL,BA,Sim
Carla Dickson,União,RN,Sim
Carlos Gaguim,União,TO,Sim
Carlos Jordy,PL,RJ,Sim
Carlos Sampaio,PSD,SP,Não
Carlos Veras,PT,PE,Não
Carlos Zarattini,PT,SP,Não
Carol Dartora,PT,PR,Não
Caroline de Toni,PL,SC,Sim
Castro Neto,PSD,PI,Sim
Cb Gilberto Silva,PL,PB,Sim
Cel. Chrisóstomo,PL,RO,Sim
Célia Xakriabá,PSOL,MG,Não
Célio Silveira,MDB,GO,Sim
Célio Studart,PSD,CE,Não
Celso Russomanno,Republican,SP,Sim
Cezinha Madureira,PSD,SP,Sim
Charles Fernandes,PSD,BA,Não
Chico Alencar,PSOL,RJ,Não
Chris Tonietto,PL,RJ,Sim
Clarissa Tércio,PP,PE,Sim
Claudio Cajado,PP,BA,Sim
Cleber Verde,MDB,MA,Sim
Clodoaldo Magalhãe,PV,PE,Não
Cobalchini,MDB,SC,Sim
Coronel Assis,União,MT,Sim
Coronel Fernanda,PL,MT,Sim
Coronel Meira,PL,PE,Sim
Coronel Ulysses,União,AC,Sim
